id,Podcast_Name,Episode_Title,Episode_Length_minutes,Genre,Host_Popularity_percentage,Publication_Day,Publication_Time,Guest_Popularity_percentage,Number_of_Ads,Episode_Sentiment,Listening_Time_minutes
0,Mystery Matters,Episode 98,,True Crime,74.81,Thursday,Night,,0.0,Positive,31.41998
1,Joke Junction,Episode 26,119.8,Comedy,66.95,Saturday,Afternoon,75.95,2.0,Negative,88.01241
2,Study Sessions,Episode 16,73.9,Education,69.97,Tuesday,Evening,8.97,0.0,Negative,44.92531
3,Digital Digest,Episode 45,67.17,Technology,57.22,Monday,Morning,78.7,2.0,Positive,46.27824
4,Mind & Body,Episode 86,110.51,Health,80.07,Monday,Afternoon,58.68,3.0,Neutral,75.61031
5,Fitness First,Episode 19,26.54,Health,48.96,Saturday,Afternoon,,3.0,Positive,22.77047
6,Criminal Minds,Episode 47,69.83,True Crime,35.82,Sunday,Night,39.02,0.0,Neutral,64.75024
7,News Roundup,Episode 44,48.52,News,44.99,Thursday,Night,20.12,0.0,Positive,22.37517
8,Daily Digest,Episode 32,105.87,News,69.81,Monday,Evening,,2.0,Neutral,68.00124
9,Music Matters,Episode 81,,Music,82.18,Thursday,Night,59.72,3.0,Neutral,45.94761
10,Sports Central,Episode 66,106.41,Sports,84.29,Thursday,Evening,32.84,3.0,Positive,74.08016
11,Melody Mix,Episode 62,107.26,Music,78.12,Monday,Evening,78.12,1.0,Positive,103.56
12,Game Day,Episode 76,82.14,Sports,86.65,Saturday,Morning,35.19,1.0,Neutral,48.26043
13,Gadget Geek,Episode 37,92.5,Technology,68.42,Wednesday,Afternoon,87.87,0.0,Neutral,50.93591
14,Global News,Episode 20,81.45,News,89.62,Saturday,Evening,28.64,1.0,Negative,41.93243
15,Tech Talks,Episode 47,68.33,Technology,75.33,Thursday,Evening,92.9,0.0,Neutral,63.97718
16,Study Sessions,Episode 82,78.47,Education,48.84,Sunday,Afternoon,,2.0,Neutral,42.89441
17,Sport Spot,Episode 32,95.45,Sports,92.19,Thursday,Afternoon,70.29,2.0,Neutral,79.67749
18,Digital Digest,Episode 72,7.34,Technology,20.81,Sunday,Night,83.06,3.0,Positive,0.75783
19,Sport Spot,Episode 61,51.6,Sports,61.6,Wednesday,Evening,90.41,1.0,Positive,14.96035
20,Funny Folks,Episode 100,54.67,Comedy,45.47,Wednesday,Afternoon,,2.0,Neutral,29.2275
21,Sports Weekly,Episode 100,67.05,Sports,58.77,Saturday,Night,,0.0,Neutral,56.87222
22,Business Briefs,Episode 54,66.22,Business,62.81,Wednesday,Night,88.86,0.0,Neutral,47.60142
23,Digital Digest,Episode 17,97.25,Technology,36.1,Tuesday,Afternoon,80.43,0.0,Neutral,89.71709
24,Sports Central,Episode 36,79.5,Sports,59.96,Monday,Evening,15.72,0.0,Neutral,54.52628
25,Tech Trends,Episode 97,105.35,Technology,55.03,Wednesday,Afternoon,76.12,1.0,Neutral,99.15797
26,Sports Weekly,Episode 27,110.7,Sports,98.58,Saturday,Night,,2.0,Positive,93.02372
27,Innovators,Episode 31,113.68,Technology,38.49,Wednesday,Afternoon,28.53,0.0,Positive,112.68
28,Melody Mix,Episode 88,55.66,Music,98.62,Tuesday,Night,56.84,0.0,Neutral,25.47053
29,Health Hour,Episode 38,,Health,45.97,Saturday,Evening,15.43,1.0,Negative,25.38384
30,Comedy Corner,Episode 26,105.46,Comedy,34.65,Tuesday,Night,62.55,2.0,Neutral,76.78874
31,Global News,Episode 92,118.15,News,86.22,Friday,Morning,64.88,2.0,Neutral,57.4838
32,Sound Waves,Episode 74,117.88,Music,41.28,Saturday,Morning,,0.0,Positive,101.19214
33,Fitness First,Episode 72,59.69,Health,91.79,Saturday,Night,88.08,1.0,Negative,53.46902
34,Study Sessions,Episode 30,8.66,Education,49.75,Friday,Morning,,3.0,Neutral,6.67525
35,Sport Spot,Episode 63,75.02,Sports,95.89,Friday,Night,59.71,0.0,Positive,40.33025
36,Business Briefs,Episode 38,12.52,Business,61.95,Wednesday,Afternoon,68.69,2.0,Neutral,9.14796
37,Funny Folks,Episode 82,5.83,Comedy,46.48,Monday,Evening,31.22,1.0,Negative,0.0
38,Music Matters,Episode 32,86.84,Music,86.65,Thursday,Morning,28.27,1.0,Neutral,81.49839
39,Brain Boost,Episode 67,39.04,Education,83.95,Wednesday,Night,48.22,0.0,Positive,34.71174
40,Sports Central,Episode 77,69.66,Sports,57.32,Thursday,Evening,61.32,1.0,Neutral,50.05332
41,Game Day,Episode 4,33.02,Sports,27.78,Wednesday,Morning,91.13,2.0,Positive,16.36
42,Innovators,Episode 17,32.29,Technology,89.36,Sunday,Evening,42.61,3.0,Neutral,26.57501
43,Funny Folks,Episode 93,,Comedy,33.02,Saturday,Afternoon,64.7,2.0,Positive,35.11072
44,Game Day,Episode 24,111.15,Sports,53.98,Saturday,Evening,34.96,1.0,Positive,97.1637
45,Athlete's Arena,Episode 1,11.68,Sports,39.19,Saturday,Morning,34.51,1.0,Negative,7.04845
46,Mind & Body,Episode 2,92.81,Health,28.52,Sunday,Evening,24.65,0.0,Positive,53.58589
47,Wellness Wave,Episode 25,33.23,Health,43.35,Wednesday,Night,0.62,1.0,Neutral,30.12822
48,Sports Weekly,Episode 56,31.69,Sports,24.8,Sunday,Evening,99.63,1.0,Positive,24.12
49,Style Guide,Episode 75,,Lifestyle,78.82,Saturday,Morning,,2.0,Positive,24.40379
50,Mind & Body,Episode 86,84.5,Health,58.72,Wednesday,Morning,62.83,0.0,Negative,36.21656
51,Melody Mix,Episode 26,73.31,Music,57.06,Monday,Evening,7.66,0.0,Positive,51.69215
52,Mind & Body,Episode 74,93.16,Health,81.22,Sunday,Night,,0.0,Negative,70.36414
53,Brain Boost,Episode 12,42.6,Education,48.23,Monday,Night,28.33,3.0,Negative,23.54377
54,Innovators,Episode 21,,Technology,75.0,Tuesday,Afternoon,45.58,0.0,Neutral,71.17189
55,World Watch,Episode 6,34.32,News,20.33,Thursday,Morning,83.26,0.0,Negative,16.0494
56,Humor Hub,Episode 85,33.79,Comedy,99.13,Wednesday,Evening,49.28,1.0,Neutral,20.7665
57,Style Guide,Episode 23,107.61,Lifestyle,33.32,Thursday,Evening,96.94,0.0,Negative,77.01387
58,Sports Central,Episode 33,31.9,Sports,63.61,Friday,Evening,64.38,1.0,Negative,19.28
59,Wellness Wave,Episode 7,32.34,Health,94.97,Saturday,Night,81.72,1.0,Positive,28.06041
